Geneid	Length
gene1913	1209
gene1914	2658
gene1915	1946
gene1916	1546
gene1917	12080
gene1918	2241
gene1919	3082
gene1920	1632
gene1921	2023
gene1922	2299
gene1923	3845
gene1924	2888
gene1925	3497
gene1926	2234
gene1927	1127
gene1928	1896
gene1929	1981
gene1930	399
gene1931	1900
gene1932	1784
gene1933	3962
gene1934	345
gene1935	300
gene1936	1493
gene1937	2336
gene1938	411
gene1939	1111
gene1940	1648
gene1941	1624
gene1942	2763
gene1943	5512
gene1944	2920
gene1945	4350
gene1946	2748
gene1947	3905
gene1948	773
gene1949	809
gene1950	2366
gene1951	7840
gene1952	2525
gene1953	1718
gene1954	1204
gene1955	5470
gene1956	5952
gene1957	1581
gene1958	1579
gene1959	1296
gene1960	1577
gene1961	2392
gene1962	4963
gene1963	1313
gene1964	575
gene1965	929
gene1966	3280
gene1967	2093
gene1968	2910
gene1969	652
gene1970	886
gene1971	2354
gene1972	2242
gene1973	444
gene1974	2786
gene1975	2285
gene1976	2954
gene1977	1080
gene1978	1605
gene1979	2137
gene1980	4331
gene1981	372
gene1982	2014
gene1983	1652
gene1984	2929
gene1985	1464
gene1986	2884
gene1987	3055
gene1988	1970
gene1989	3212
gene1990	1756
gene1991	375
gene1992	4094
gene1993	1446
gene1994	1408
gene1995	1679
gene1996	4533
gene1997	953
gene1998	2321
gene1999	728
gene2000	2071
gene2001	4004
gene2002	1300
gene2003	384
gene2004	3230
gene2005	1705
gene2006	1432
gene2007	759
gene2008	964
gene2009	2117
gene2010	102
gene2011	3653
gene2012	1206
gene2013	2639
gene2014	903
gene2015	2211
gene2016	2301
gene2017	1996
gene2018	1941
gene2019	4210
gene2020	1959
gene2021	749
gene2022	483
gene2023	2109
gene2024	1412
gene2025	2362
gene2026	2136
gene2027	3011
gene2028	2354
gene2029	8135
gene2030	4869
gene2031	1448
gene2032	669
gene2033	1981
gene2034	961
gene2035	1944
gene2036	100
gene2037	4402
gene2038	840
gene2039	2446
gene2040	2748
gene2041	585
gene2042	6981
gene2043	1779
gene2044	2333
gene2045	1322
gene2046	1577
gene2047	795
gene2048	210
gene2049	412
gene2050	303
gene2051	249
gene2052	4089
gene2053	1619
gene2054	1815
gene2055	888
gene2056	1095
gene2057	2071
gene2058	3541
gene2059	1767
gene2060	1564
gene2061	2276
gene2062	1309
gene2063	1597
gene2064	3165
gene2065	1825
gene2066	5457
gene2067	2050
gene2068	3976
gene2069	372
gene2070	1256
gene2071	99
gene2072	1424
gene2073	1150
gene2074	1229
gene2075	2781
gene2076	1601
gene2077	2537
gene2078	1234
gene2079	964
gene2080	2382
gene2081	1676
gene2082	1939
gene2083	2260
gene2084	600
gene2085	3355
gene2086	2239
gene2087	1737
gene2088	1872
gene2089	1526
gene2090	931
gene2091	513
gene2092	1493
gene2093	5425
gene2094	73
gene2095	258
gene2096	778
gene2097	3227
gene2098	4456
gene2099	2455
gene2100	1819
gene2101	2562
gene2102	1188
gene2103	1388
gene2104	2790
gene2105	826
gene2106	2779
gene2107	588
gene2108	3751
gene2109	2959
gene2110	1807
gene2111	2799
gene2112	2325
gene2113	2085
gene2114	1213
gene2115	1080
gene2116	3104
gene2117	635
gene2118	3884
gene2119	577
gene2120	2765
gene2121	3816
gene2122	3549
gene2123	1716
gene2124	2336
gene2125	768
gene2126	112
gene2127	1153
gene2128	2904
gene2129	333
gene2130	2159
gene2131	2121
gene2132	74
gene2133	3924
gene2134	1745
gene2135	693
gene2136	1553
gene2137	1799
gene2138	2108
gene2139	1785
gene2140	2180
gene2141	821
gene2142	2462
gene2143	1525
gene2144	2666
gene2145	588
gene2146	5564
gene2147	881
gene2148	997
gene2149	2162
gene2150	1876
gene2151	4201
gene2152	1654
gene2153	1737
gene2154	1379
gene2155	975
gene2156	2103
gene2157	3772
gene2158	4562
gene2159	2428
gene2160	4079
gene2161	2107
gene2162	1971
gene2163	1047
gene2164	3786
gene2165	869
gene2166	1541
gene2167	3408
gene2168	1143
gene2169	2006
gene2170	2567
gene2171	1299
gene2172	1552
gene2173	2847
gene2174	2836
gene2175	2930
gene2176	1650
gene2177	971
gene2178	72
gene2179	3878
gene2180	2704
gene2181	3317
gene2182	2193
gene2183	375
gene2184	2801
gene2185	1634
gene2186	1772
gene2187	1272
gene2188	1160
gene2189	759
gene2190	1448
gene2191	2983
gene2192	1928
gene2193	2394
gene2194	2236
gene2195	1242
gene2196	2327
gene2197	991
gene2198	888
gene2199	1002
gene2200	2156
gene2201	1637
gene2202	4052
gene2203	1538
gene2204	2196
gene2205	2156
gene2206	2199
gene2207	4180
gene2208	1841
gene2209	1383
gene2210	1800
gene2211	92
gene2212	100
gene2213	1347
gene2214	1029
gene2215	1105
gene2216	873
gene2217	591
gene2218	819
gene2219	726
gene2220	7149
gene2221	901
gene2222	1644
gene2223	2462
gene2224	2343
gene2225	101
gene2226	2733
gene2227	3585
gene2228	411
gene2229	1316
gene2230	1065
gene2231	1168
gene2232	1738
gene2233	2449
gene2234	1382
gene2235	1690
gene2236	2124
gene2237	1188
gene2238	1368
gene2239	324
gene2240	2232
gene2241	4822
gene2242	3496
gene2243	101
gene2244	3909
gene2245	1171
gene2246	73
gene2247	2162
gene2248	1063
gene2249	687
gene2250	1261
gene2251	1677
gene2252	1531
gene2253	1656
gene2254	1878
gene2255	5111
gene2256	1247
gene2257	71
gene2258	74
gene2259	1712
gene2260	1510
gene2261	72
gene2262	1159
gene2263	1618
gene2264	99
gene2265	1317
gene2266	2690
gene2267	531
gene2268	3282
gene2269	2436
gene2270	1857
gene2271	1542
gene2272	1605
gene2273	2334
gene2274	621
gene2275	693
gene2276	1146
gene2277	801
gene2278	1101
gene2279	915
gene2280	774
gene2281	777
gene2282	549
gene2283	147
gene2284	8085
gene2285	1929
gene2286	97
gene2287	1137
gene2288	1751
gene2289	116
gene2290	907
gene2291	3791
gene2292	1650
gene2293	1227
gene2294	1575
gene2295	1062
gene2296	2423
gene2297	3401
gene2298	1007
gene2299	3830
gene2300	157
gene2301	2145
gene2302	2206
gene2303	2222
gene2304	1613
gene2305	2794
gene2306	5285
gene2307	5353
gene2308	1279
gene2309	2715
gene2310	4102
gene2311	950
gene2312	3712
gene2313	768
gene2314	781
gene2315	830
gene2316	6237
gene2317	2959
gene2318	2216
gene2319	1810
gene2320	3486
gene2321	2410
gene2322	2753
gene2323	3006
gene2324	1066
gene2325	1719
gene2326	1276
gene2327	857
gene2328	2465
gene2329	2294
gene2330	1432
gene2331	3656
gene2332	2903
gene2333	1691
gene2334	1009
gene2335	2296
gene2336	3236
gene2337	1500
gene2338	3019
gene2339	2886
gene2340	4895
gene2341	33336
gene2342	7657
gene2343	4121
gene2344	3099
gene2345	6994
gene2346	2893
gene2347	3856
gene2348	1926
gene2349	2172
gene2350	1009
gene2351	2199
gene2352	2579
gene2353	3015
gene2354	1622
gene2355	1649
gene2356	867
gene2357	3098
gene2358	2975
gene2359	2614
gene2360	2562
gene2361	564
gene2362	924
gene2363	1630
gene2364	1524
gene2365	1575
gene2366	4561
gene2367	357
gene2368	4224
gene2369	990
gene2370	99
gene2371	2553
gene2372	1087
gene2373	5336
gene2374	1328
gene2375	1677
gene2376	1204
gene2377	3375
gene2378	2438
gene2379	2505
gene2380	1553
gene2381	1695
gene2382	1496
gene2383	666
gene2384	1856
gene2385	2493
gene2386	4244
gene2387	1302
gene2388	1339
gene2389	808
gene2390	2747
gene2391	5053
gene2392	4827
gene2393	882
gene2394	841
gene2395	1998
gene2396	2817
gene2397	3226
gene2398	738
gene2399	2692
gene2400	4654
gene2401	1809
gene2402	575
gene2403	3502
gene2404	1320
gene2405	3310
gene2406	1373
gene2407	2377
gene2408	902
gene2409	1672
gene2410	2904
gene2411	1372
gene2412	1448
gene2413	1760
gene2414	1764
gene2415	1131
gene2416	1838
gene2417	2535
gene2418	1491
gene2419	74
gene2420	1174
gene2421	5999
gene2422	7225
gene2423	3091
gene2424	5105
gene2425	532
gene2426	2276
gene2427	1114
gene2428	6360
gene2429	5355
gene2430	1582
gene2431	3993
gene2432	2047
gene2433	2058
gene2434	2233
gene2435	4290
gene2436	4973
gene2437	2596
gene2438	468
gene2439	597
gene2440	2103
gene2441	4602
gene2442	938
gene2443	3467
gene2444	1022
gene2445	1131
gene2446	1480
gene2447	751
gene2448	399
gene2449	2391
gene2450	2244
gene2451	3237
gene2452	1905
gene2453	762
gene2454	3451
gene2455	2160
gene2456	1253
gene2457	1047
gene2458	4868
gene2459	1703
gene2460	868
gene2461	1752
gene2462	295
gene2463	1075
gene2464	4021
gene2465	1688
gene2466	916
gene2467	576
gene2468	602
gene2469	1113
gene2470	3044
gene2471	3687
gene2472	2757
gene2473	1476
gene2474	1108
gene2475	3360
gene2476	1189
gene2477	2103
gene2478	892
gene2479	564
gene2480	2047
gene2481	719
gene2482	4050
gene2483	1020
gene2484	2319
gene2485	1035
gene2486	1978
gene2487	1176
gene2488	540
gene2489	1246
gene2490	1578
gene2491	3252
gene2492	1772
gene2493	780
gene2494	1206
gene2495	3501
gene2496	3249
gene2497	1931
gene2498	553
gene2499	1098
gene2500	627
gene2501	765
gene2502	1833
gene2503	2626
gene2504	1418
gene2505	1354
gene2506	3131
gene2507	72
gene2508	964
gene2509	1315
gene2510	4311
gene2511	1010
gene2512	2094
gene2513	1095
gene2514	648
gene2515	387
gene2516	606
gene2517	1068
gene2518	8922
gene2519	1353
gene2520	1613
gene2521	3576
gene2522	602
gene2523	5757
gene2524	2609
gene2525	3906
gene2526	1365
gene2527	2198
gene2528	333
gene2529	4067
gene2530	1255
gene2531	2423
gene2532	3335
gene2533	2922
gene2534	3767
gene2535	1830
gene2536	2352
gene2537	2516
gene2538	726
gene2539	3197
gene2540	1919
gene2541	3274
gene2542	2685
gene2543	406
gene2544	321
gene2545	1977
gene2546	3873
gene2547	4963
gene2548	2173
gene2549	2498
gene2550	276
gene2551	5040
gene2552	6486
gene2553	4657
gene2554	2450
gene2555	1249
gene2556	1835
gene2557	624
gene2558	3708
gene2559	2220
gene2560	2325
gene2561	4039
gene2562	1714
gene2563	1237
gene2564	2357
gene2565	528
gene2566	849
gene2567	1658
gene2568	1321
gene2569	1394
gene2570	1832
gene2571	3072
gene2572	1477
gene2573	1381
gene2574	4684
gene2575	315
gene2576	1555
gene2577	1443
gene2578	1038
gene2579	1942
gene2580	4583
gene2581	1775
gene2582	1356
gene2583	1035
gene2584	807
gene2585	2399
gene2586	735
gene2587	2444
gene2588	2169
gene2589	921
gene2590	7352
gene2591	2373
gene2592	1660
gene2593	2378
gene2594	3082
gene2595	2497
gene2596	396
gene2597	2529
gene2598	1563
gene2599	2501
gene2600	2703
gene2601	96
gene2602	93
gene2603	2792
gene2604	3438
gene2605	2448
gene2606	2705
gene2607	2072
gene2608	3058
gene2609	2144
gene2610	3117
gene2611	1576
gene2612	1839
gene2613	4362
gene2614	1985
gene2615	4035
gene2616	1672
gene2617	3593
gene2618	3284
gene2619	1284
gene2620	2919
gene2621	116
gene2622	732
gene2623	929
gene2624	1644
gene2625	1323
gene2626	624
gene2627	2441
gene2628	483
gene2629	116
gene2630	504
gene2631	912
gene2632	1938
gene2633	937
gene2634	354
gene2635	3868
gene2636	116
gene2637	1580
gene2638	1452
gene2639	3155
gene2640	2848
gene2641	3517
gene2642	3318
gene2643	1748
gene2644	1356
gene2645	3934
gene2646	752
gene2647	1803
gene2648	759
gene2649	255
gene2650	747
gene2651	945
gene2652	509
gene2653	867
gene2654	2170
gene2655	2955
gene2656	3252
gene2657	4071
gene2658	1607
gene2659	1631
gene2660	3609
gene2661	116
gene2662	1974
gene2663	3112
gene2664	3708
gene2665	1216
gene2666	729
gene2667	85
gene2668	85
gene2669	1382
gene2670	1318
gene2671	3869
gene2672	2696
gene2673	684
gene2674	1860
gene2675	1309
gene2676	2731
gene2677	90
gene2678	2948
gene2679	318
gene2680	531
gene2681	85
gene2682	102
gene2683	3860
gene2684	4440
gene2685	2129
gene2686	369
gene2687	1188
gene2688	116
gene2689	1584
gene2690	99
gene2691	1107
gene2692	1256
gene2693	116
gene2694	2278
gene2695	1942
gene2696	3093
gene2697	1315
gene2698	761
gene2699	1712
gene2700	3227
gene2701	2682
gene2702	803
gene2703	664
gene2704	2222
gene2705	2981
gene2706	1139
gene2707	2327
gene2708	1580
gene2709	1657
gene2710	1895
gene2711	1466
gene2712	867
gene2713	1785
gene2714	3047
gene2715	1423
gene2716	954
gene2717	1758
gene2718	582
gene2719	297
gene2720	2415
gene2721	2353
gene2722	92
gene2723	7364
gene2724	115
gene2725	1562
gene2726	1254
gene2727	1005
gene2728	1980
gene2729	342
gene2730	1950
gene2731	1768
gene2732	1542
gene2733	948
gene2734	2651
gene2735	3012
gene2736	2251
gene2737	4471
gene2738	113
gene2739	4273
gene2740	2497
gene2741	1873
gene2742	4056
gene2743	3166
gene2744	2018
gene2745	1322
gene2746	3805
gene2747	2669
gene2748	3254
gene2749	3024
gene2750	2665
gene2751	2814
gene2752	4580
gene2753	1769
gene2754	1813
gene2755	1923
gene2756	1916
gene2757	2681
gene2758	1558
gene2759	1311
gene2760	3185
gene2761	2935
gene2762	579
gene2763	2229
gene2764	1944
gene2765	1888
gene2766	1390
gene2767	4380
gene2768	1860
gene2769	1045
gene2770	2371
gene2771	1217
gene2772	1270
gene2773	2318
gene2774	4126
gene2775	72
gene2776	1299
gene2777	1577
gene2778	2103
gene2779	3752
gene2780	3157
gene2781	1909
gene2782	2222
gene2783	3795
gene2784	1929
gene2785	4234
gene2786	1752
gene2787	3031
gene2788	1497
gene2789	447
gene2790	1024
gene2791	1763
gene2792	770
gene2793	1579
gene2794	1050
gene2795	5186
gene2796	2239
gene2797	4705
gene2798	555
gene2799	414
gene2800	96
gene2801	2147
gene2802	6319
gene2803	100
gene2804	1587
gene2805	3242
gene2806	2072
gene2807	100
gene2808	116
gene2809	558
gene2810	2394
gene2811	363
gene2812	4276
gene2813	1759
gene2814	3646
gene2815	3233
gene2816	2216
gene2817	828
gene2818	3867
gene2819	1893
gene2820	504
gene2821	4024
gene2822	2454
gene2823	2190
gene2824	2207
gene2825	1088
gene2826	86
gene2827	5200
gene2828	979
gene2829	2654
gene2830	91
gene2831	753
gene2832	2353
gene2833	3877
gene2834	2362
gene2835	3240
gene2836	9238
gene2837	1373
gene2838	1476
gene2839	1809
gene2840	1819
gene2841	3237
gene2842	2706
gene2843	4207
gene2844	1987
gene2845	2618
gene2846	3142
gene2847	2477
gene2848	2036
gene2849	2488
gene2850	597
gene2851	659
gene2852	900
gene2853	2437
gene2854	2534
gene2855	3386
gene2856	846
gene2857	543
gene2858	7257
gene2859	3838
gene2860	2843
gene2861	673
gene2862	624
gene2863	1929
gene2864	1063
gene2865	822
gene2866	864
gene2867	849
gene2868	1167
gene2869	753
gene2870	498
gene2871	1695
gene2872	1506
gene2873	1650
gene2874	369
gene2875	729
gene2876	354
gene2877	1353
gene2878	2808
gene2879	72
gene2880	1650
gene2881	2042
gene2882	2212
gene2883	3212
gene2884	612
gene2885	4406
gene2886	2646
gene2887	282
gene2888	3053
gene2889	2049
gene2890	1592
gene2891	99
gene2892	1218
gene2893	1747
gene2894	3988
gene2895	1140
gene2896	1492
gene2897	978
gene2898	531
gene2899	2159
gene2900	3641
gene2901	1603
gene2902	116
gene2903	2925
gene2904	3314
gene2905	2169
gene2906	115
gene2907	7400
gene2908	2704
gene2909	1932
gene2910	116
gene2911	999
gene2912	1086
gene2913	116
gene2914	3085
gene2915	654
gene2916	72
gene2917	2861
gene2918	516
gene2919	3966
gene2920	1250
gene2921	456
gene2922	3045
gene2923	351
gene2924	1275
gene2925	2660
gene2926	2588
gene2927	2156
gene2928	1541
gene2929	5395
gene2930	255
gene2931	1451
gene2932	339
gene2933	2418
gene2934	1399
gene2935	2530
gene2936	2161
gene2937	755
gene2938	553
gene2939	2141
gene2940	1548
gene2941	2728
gene2942	297
gene2943	2394
gene2944	1687
gene2945	2366
gene2946	2291
gene2947	2370
gene2948	1703
gene2949	3296
gene2950	2336
gene2951	2792
gene2952	2838
gene2953	3934
gene2954	2817
gene2955	74
gene2956	2905
gene2957	1606
gene2958	1342
gene2959	1121
gene2960	3757
gene2961	5469
gene2962	1644
gene2963	1339
gene2964	1957
gene2965	2594
gene2966	2401
gene2967	3104
gene2968	3256
gene2969	4780
gene2970	2598
gene2971	5332
gene2972	3580
gene2973	1661
gene2974	1235
gene2975	3245
gene2976	1237
gene2977	1024
gene2978	1708
gene2979	2484
gene2980	1728
gene2981	1686
gene2982	2475
gene2983	2907
gene2984	1268
gene2985	1408
gene2986	1592
gene2987	743
gene2988	726
gene2989	1040
gene2990	4813
gene2991	4698
gene2992	3190
gene2993	4144
gene2994	1294
gene2995	1891
gene2996	4130
gene2997	3843
gene2998	3061
gene2999	1838
gene3000	3322
gene3001	2762
gene3002	513
gene3003	3281
gene3004	3059
gene3005	2163
gene3006	399
gene3007	857
gene3008	1509
gene3009	867
gene3010	8203
gene3011	2421
gene3012	1763
gene3013	1877
gene3014	1176
gene3015	1343
gene3016	2356
gene3017	2119
gene3018	9265
gene3019	1527
gene3020	2124
gene3021	4199
gene3022	3981
gene3023	2134
gene3024	506
gene3025	2965
gene3026	3294
gene3027	1811
gene3028	1550
gene3029	2514
gene3030	2766
gene3031	1842
gene3032	1167
gene3033	2993
gene3034	2903
gene3035	1157
gene3036	1519
gene3037	1774
gene3038	1897
gene3039	2624
gene3040	1993
gene3041	1692
gene3042	372
gene3043	2205
gene3044	1043
gene3045	2873
gene3046	2800
gene3047	1036
gene3048	2118
gene3049	2447
gene3050	834
gene3051	2575
gene3052	959
gene3053	1348
gene3054	1704
gene3055	2203
gene3056	72
gene3057	1037
gene3058	898
gene3059	1438
gene3060	832
gene3061	1194
gene3062	980
gene3063	6270
gene3064	2779
gene3065	2540
gene3066	1739
gene3067	847
gene3068	2237
gene3069	1717
gene3070	4028
gene3071	2575
gene3072	2218
gene3073	1901
gene3074	4807
gene3075	930
gene3076	1688
gene3077	3880
gene3078	4073
gene3079	2049
gene3080	2268
gene3081	4543
gene3082	2634
gene3083	1904
gene3084	3024
gene3085	1120
gene3086	1497
gene3087	1783
gene3088	1844
gene3089	2557
gene3090	1341
gene3091	2472
gene3092	3027
gene3093	1674
gene3094	2331
gene3095	2697
gene3096	2598
gene3097	2954
gene3098	1066
gene3099	3194
gene3100	4577
gene3101	1180
gene3102	3047
gene3103	7177
gene3104	2317
gene3105	1259
gene3106	1084
gene3107	1511
gene3108	2179
gene3109	4271
gene3110	2957
gene3111	376
gene3112	3275
gene3113	3687
gene3114	3737
gene3115	2656
gene3116	3518
gene3117	5625
gene3118	2296
gene3119	1254
gene3120	2188
gene3121	2401
gene3122	1363
gene3123	2653
gene3124	2270
gene3125	1953
gene3126	4038
gene3127	2241
gene3128	1629
gene3129	1868
gene3130	1553
gene3131	1915
gene3132	3758
gene3133	3610
gene3134	2333
gene3135	2234
gene3136	417
gene3137	405
gene3138	810
gene3139	312
gene3140	3380
gene3141	3126
gene3142	2955
gene3143	4104
gene3144	1586
gene3145	1729
gene3146	2692
gene3147	1619
gene3148	2112
gene3149	3649
gene3150	1845
gene3151	1717
gene3152	2632
gene3153	1696
gene3154	1464
gene3155	5954
gene3156	3082
gene3157	4513
gene3158	1275
gene3159	2856
gene3160	1145
gene3161	3063
gene3162	579
gene3163	1849
gene3164	2804
gene3165	796
gene3166	1523
gene3167	5121
gene3168	2152
gene3169	3359
gene3170	2272
gene3171	4052
gene3172	3989
gene3173	8972
gene3174	459
gene3175	2082
gene3176	5664
gene3177	2240
gene3178	1132
gene3179	1340
gene3180	1254
gene3181	784
gene3182	2596
gene3183	5211
gene3184	667
gene3185	689
gene3186	2348
gene3187	764
gene3188	2997
gene3189	2756
gene3190	1027
gene3191	763
gene3192	3290
gene3193	1368
gene3194	2901
gene3195	3036
gene3196	3166
gene3197	663
gene3198	1896
gene3199	2571
gene3200	1430
gene3201	964
gene3202	1135
gene3203	2848
gene3204	1741
gene3205	8796
gene3206	1824
gene3207	1849
gene3208	1569
gene3209	1263
gene3210	1701
gene3211	2324
gene3212	1347
gene3213	1358
gene3214	4946
gene3215	2462
gene3216	2020
gene3217	991
gene3218	1717
gene3219	2112
gene3220	86
gene3221	106
gene3222	86
gene3223	1356
gene3224	2934
gene3225	1473
gene3226	2379
gene3227	4014
gene3228	1741
gene3229	1347
gene3230	1642
gene3231	3428
gene3232	3616
gene3233	1987
gene3234	1071
gene3235	2181
gene3236	1417
gene3237	1318
gene3238	324
gene3239	1134
gene3240	5036
gene3241	1705
gene3242	1969
gene3243	1330
gene3244	1900
gene3245	3735
gene3246	841
gene3247	1659
gene3248	1623
gene3249	1913
gene3250	1119
gene3251	5454
gene3252	408
gene3253	737
gene3254	4760
gene3255	953
gene3256	3957
gene3257	3904
gene3258	3625
gene3259	327
gene3260	2000
gene3261	3108
gene3262	1680
gene3263	2928
gene3264	684
gene3265	381
gene3266	1506
gene3267	2626
gene3268	1057
gene3269	2898
gene3270	1673
gene3271	1562
gene3272	5281
gene3273	1183
gene3274	755
gene3275	1052
gene3276	2554
gene3277	306
gene3278	3311
gene3279	72
gene3280	1497
gene3281	1976
gene3282	1976
gene3283	2163
gene3284	1507
gene3285	5341
gene3286	3568
gene3287	1368
gene3288	1329
gene3289	1860
gene3290	2985
gene3291	2005
gene3292	1281
gene3293	1589
gene3294	3705
gene3295	82
gene3296	4919
gene3297	2791
gene3298	2709
gene3299	2812
gene3300	1407
gene3301	3696
gene3302	1836
gene3303	1615
gene3304	816
gene3305	2650
gene3306	4942
gene3307	1926
gene3308	1929
gene3309	984
gene3310	2821
gene3311	2826
gene3312	1906
gene3313	1141
gene3314	1597
gene3315	2703
gene3316	1806
gene3317	3702
gene3318	1655
gene3319	2174
gene3320	2107
gene3321	339
gene3322	4864
gene3323	928
gene3324	2068
gene3325	3207
gene3326	101
gene3327	1918
gene3328	2955
gene3329	240
gene3330	1368
gene3331	1062
gene3332	914
gene3333	2904
gene3334	1920
gene3335	1916
gene3336	13530
gene3337	1633
gene3338	3971
gene3339	951
gene3340	3873
gene3341	1025
gene3342	504
gene3343	467
gene3344	604
gene3345	1690
gene3346	2348
gene3347	116
gene3348	5410
gene3349	2297
gene3350	3055
gene3351	3145
gene3352	1515
gene3353	1766
gene3354	1871
gene3355	1894
gene3356	5754
gene3357	1044
gene3358	1278
gene3359	1964
gene3360	486
gene3361	1504
gene3362	4210
gene3363	546
gene3364	210
gene3365	93
gene3366	1683
gene3367	73
gene3368	2895
gene3369	711
gene3370	1322
gene3371	885
gene3372	4320
gene3373	3672
gene3374	2015
gene3375	88
gene3376	1902
gene3377	4922
gene3378	2823
gene3379	1881
gene3380	4684
gene3381	116
gene3382	5001
gene3383	90
gene3384	1224
gene3385	906
gene3386	3880
gene3387	2086
gene3388	1961
gene3389	2445
gene3390	3862
gene3391	447
gene3392	105
gene3393	1996
gene3394	1741
gene3395	3479
gene3396	1590
gene3397	72
gene3398	1665
gene3399	1940
gene3400	1954
gene3401	116
gene3402	1434
gene3403	3568
gene3404	438
gene3405	261
gene3406	726
gene3407	3157
gene3408	1965
gene3409	907
gene3410	1513
gene3411	2759
gene3412	635
gene3413	1687
gene3414	1257
gene3415	1705
gene3416	1794
gene3417	1655
gene3418	1533
gene3419	2314
gene3420	116
gene3421	2712
gene3422	1760
gene3423	74
gene3424	3672
gene3425	1694
gene3426	1217
gene3427	1885
gene3428	579
gene3429	1425
gene3430	2002
gene3431	2714
gene3432	3020
gene3433	1545
gene3434	1269
gene3435	1299
gene3436	574
gene3437	5093
gene3438	906
gene3439	1002
gene3440	1713
gene3441	1275
gene3442	3073
gene3443	3999
gene3444	1547
gene3445	1510
gene3446	1747
gene3447	1203
gene3448	1053
gene3449	2033
gene3450	318
gene3451	1139
gene3452	4408
gene3453	770
gene3454	2092
gene3455	5254
gene3456	1977
gene3457	5288
gene3458	1033
gene3459	2031
gene3460	1916
gene3461	1653
gene3462	2640
gene3463	1595
gene3464	1836
gene3465	1876
gene3466	700
gene3467	1202
gene3468	116
gene3469	824
gene3470	1600
gene3471	2186
gene3472	5226
gene3473	2215
gene3474	345
gene3475	308
gene3476	4535
gene3477	1199
gene3478	6396
gene3479	378
gene3480	4153
gene3481	2305
gene3482	997
gene3483	3783
gene3484	996
gene3485	2273
gene3486	3422
gene3487	100
gene3488	1347
gene3489	432
gene3490	993
gene3491	1480
gene3492	324
gene3493	2787
gene3494	5655
gene3495	1224
gene3496	2579
gene3497	417
gene3498	2156
gene3499	1580
gene3500	201
gene3501	3209
gene3502	3363
gene3503	1339
gene3504	3055
gene3505	3992
gene3506	3131
gene3507	86
gene3508	2127
gene3509	7231
gene3510	2072
gene3511	1701
gene3512	1680
gene3513	924
gene3514	1029
gene3515	909
gene3516	2436
gene3517	2620
gene3518	2098
gene3519	2569
gene3520	522
gene3521	2207
gene3522	1463
gene3523	693
gene3524	1281
gene3525	1420
gene3526	1131
gene3527	1374
gene3528	1437
gene3529	809
gene3530	2879
gene3531	4238
gene3532	1996
gene3533	5582
gene3534	1915
gene3535	2461
gene3536	1624
gene3537	1341
gene3538	2010
gene3539	1025
gene3540	4166
gene3541	553
gene3542	72
gene3543	1419
gene3544	2410
gene3545	3250
gene3546	2603
gene3547	5011
gene3548	1413
gene3549	2229
gene3550	3228
gene3551	1170
gene3552	1796
gene3553	1482
gene3554	1174
gene3555	1497
gene3556	1367
gene3557	792
gene3558	1798
gene3559	3635
gene3560	4533
gene3561	1910
gene3562	1906
gene3563	3451
gene3564	2371
gene3565	1458
gene3566	2496
gene3567	1131
gene3568	846
gene3569	93
gene3570	1596
gene3571	1234
gene3572	85
gene3573	85
gene3574	8063
gene3575	1782
gene3576	1700
gene3577	3223
gene3578	1169
gene3579	1874
gene3580	1004
gene3581	1389
gene3582	2519
gene3583	5389
gene3584	1233
gene3585	87
gene3586	2301
gene3587	1265
gene3588	4043
gene3589	3045
gene3590	2830
gene3591	1044
gene3592	2306
gene3593	1567
gene3594	1829
gene3595	801
gene3596	1670
gene3597	2378
gene3598	3432
gene3599	1317
gene3600	1911
gene3601	2610
gene3602	3451
gene3603	3890
gene3604	4630
gene3605	3431
gene3606	1610
gene3607	116
gene3608	2166
gene3609	4885
gene3610	294
gene3611	1232
gene3612	1940
gene3613	249
gene3614	483
gene3615	1822
gene3616	3142
gene3617	1713
gene3618	726
gene3619	2695
gene3620	2264
gene3621	4792
gene3622	312
gene3623	2303
gene3624	1153
gene3625	1597
gene3626	4688
gene3627	114
gene3628	1608
gene3629	90
gene3630	315
gene3631	1538
gene3632	1035
gene3633	3688
gene3634	1851
gene3635	1238
gene3636	1826
gene3637	2136
gene3638	2058
gene3639	1511
gene3640	3709
gene3641	93
gene3642	2132
gene3643	1769
gene3644	780
gene3645	339
gene3646	1333
gene3647	1170
gene3648	612
gene3649	714
gene3650	676
gene3651	1458
gene3652	1716
gene3653	2097
gene3654	2308
gene3655	2388
gene3656	3029
gene3657	103
gene3658	2164
gene3659	1332
gene3660	399
gene3661	74
gene3662	2882
gene3663	3444
gene3664	2440
gene3665	1635
gene3666	771
gene3667	435
gene3668	1818
gene3669	636
gene3670	792
gene3671	1960
gene3672	576
gene3673	657
gene3674	612
gene3675	252
gene3676	666
gene3677	3960
gene3678	291
gene3679	333
gene3680	2920
gene3681	1416
gene3682	978
gene3683	1298
gene3684	627
gene3685	405
gene3686	939
gene3687	2328
gene3688	513
gene3689	459
gene3690	774
gene3691	540
gene3692	1083
gene3693	2886
gene3694	1352
gene3695	2708
gene3696	4891
gene3697	2731
gene3698	1853
gene3699	1837
gene3700	2470
gene3701	898
gene3702	2953
gene3703	663
gene3704	2283
gene3705	3011
gene3706	4420
gene3707	463
gene3708	1377
gene3709	1855
gene3710	3644
gene3711	915
gene3712	1491
